id,job_title,company,location,category,experience_level,salary_range,required_skills,description
52,Technical Project Manager,HCL,"Noida, India",Product Management,Mid Level,12-20 LPA,"project management, agile, scrum, jira, communication, leadership, risk management, pmp, budgeting","HCL seeks a Technical Project Manager to lead software delivery projects. You will manage timelines, budgets, and stakeholder expectations, ensuring on-time delivery using Agile/Scrum methodologies."
53,Cross-Platform Developer,Nykaa,"Pune, India",Mobile Development,Entry Level,5-10 LPA,"kotlin, android sdk, java, xml, retrofit, room, mvvm, git, firebase","Paytm is looking for an Android Developer to build features for India's leading digital payment app. You will develop UI components, integrate REST APIs, and write testable code following MVVM architecture."
54,Associate Software Engineer,MiQ Digital,"Bangalore, India",Software Engineering,Mid Level,12-22 LPA,"java, python, microservices, docker, kubernetes, redis, mongodb, kafka, system design","Flipkart is hiring a Backend Developer to build scalable microservices handling millions of requests. You will work on distributed systems, optimize database queries, and implement event-driven architectures using Kafka."
55,Backend Developer,Flipkart,"Bangalore, India",Software Engineering,Mid Level,12-22 LPA,"java, python, microservices, docker, kubernetes, redis, mongodb, kafka, system design","Flipkart is hiring a Backend Developer to build scalable microservices handling millions of requests. You will work on distributed systems, optimize database queries, and implement event-driven architectures using Kafka."
56,Software Engineer II,Verse Innovation,"Ahmedabad, India",Software Engineering,Mid Level,8-15 LPA,"javascript, react, node.js, express, mongodb, html, css, git, rest api, agile",Zoho seeks a Full Stack Developer proficient in React and Node.js to build end-to-end features for our SaaS products. You will collaborate with designers and product managers to deliver polished user experiences.
57,Cloud Architect,Wipro,"Hyderabad, India",DevOps,Senior Level,25-45 LPA,"aws, azure, google cloud, terraform, kubernetes, microservices, system design, security, leadership","Wipro is looking for a Cloud Architect to design and implement cloud-native solutions for enterprise clients. You will lead cloud migration projects, define architecture standards, and mentor cloud engineering teams."
58,Performance Test Engineer,Publicis Sapient,"Gurugram, India",Testing,Mid Level,10-18 LPA,"jmeter, gatling, load testing, performance tuning, apm, linux, python, sql, monitoring, grafana","Publicis Sapient seeks a Performance Test Engineer to ensure application scalability. You will design load test scripts in JMeter, analyze bottlenecks, and recommend performance optimizations."
59,Junior Data Analyst,BrowserStack,"Gurugram, India",Data Science,Senior Level,50-90 LPA,"python, pytorch, deep learning, reinforcement learning, mathematics, research, nlp, computer vision, publications","DeepMind is seeking an AI Research Scientist to push the boundaries of artificial intelligence. You will publish papers at top conferences, develop novel architectures, and contribute to foundational AI research."
60,Web Developer,Verse Innovation,"Gurugram, India",Web Development,Entry Level,4-7 LPA,"angular, typescript, html, css, javascript, rxjs, git, rest api, agile","TCS is hiring an Angular Developer for enterprise web applications. You will build dynamic single-page apps using Angular, integrate with REST APIs, and follow agile development practices."
61,Flutter Developer,Dream11,"Mumbai, India",Mobile Development,Mid Level,10-18 LPA,"flutter, dart, firebase, rest api, state management, git, ui design, testing","Dream11 is hiring a Flutter Developer to build cross-platform mobile experiences for our fantasy sports platform. You will create responsive UIs, manage app state, and integrate real-time data feeds."
62,Data Scientist,Amazon,"Hyderabad, India",Data Science,Mid Level,18-35 LPA,"python, machine learning, tensorflow, pandas, numpy, scikit-learn, sql, statistics, deep learning, nlp","Amazon is looking for a Data Scientist to build ML models that improve customer experience. You will work on recommendation engines, demand forecasting, and NLP-based solutions using TensorFlow and scikit-learn."
63,Mobile Lead,CRED,"Bangalore, India",Mobile Development,Senior Level,30-50 LPA,"kotlin, swift, flutter, system design, leadership, mentoring, ci/cd, architecture, performance optimization","CRED is looking for a Mobile Lead to oversee the entire mobile engineering function. You will define mobile architecture, mentor a team of developers, and drive technical excellence across iOS and Android platforms."
64,Cross-Platform Developer,MoEngage,"Hyderabad, India",Mobile Development,Mid Level,12-22 LPA,"swift, swift ui, ios sdk, xcode, core data, combine, rest api, git, ci/cd","Meesho seeks an iOS Developer to build and enhance our e-commerce app used by millions. You will implement SwiftUI views, optimize app performance, and ensure smooth user experiences on Apple devices."
65,Security Engineer,Rapido,"Ahmedabad, India",Cybersecurity,Entry Level,4-8 LPA,"networking, linux, firewall, siem, vulnerability assessment, python, security, owasp, communication","Tata AIG is hiring a Security Analyst to monitor and respond to security incidents. You will analyze security logs, conduct vulnerability assessments, and help maintain the organization's security posture."
66,Security Engineer,Cyient,"Noida, India",Cybersecurity,Mid Level,14-25 LPA,"owasp, code review, python, java, security testing, ci/cd, docker, threat modeling, sdlc","Zomato is hiring an AppSec Engineer to embed security into our development lifecycle. You will conduct code reviews, run SAST/DAST tools, perform threat modeling, and train developers on secure coding."
67,Mobile Developer,Zensar Technologies,"Noida, India",Mobile Development,Mid Level,12-22 LPA,"swift, swift ui, ios sdk, xcode, core data, combine, rest api, git, ci/cd","Meesho seeks an iOS Developer to build and enhance our e-commerce app used by millions. You will implement SwiftUI views, optimize app performance, and ensure smooth user experiences on Apple devices."
68,Platform Engineer,Thoughtworks,"Pune, India",DevOps,Mid Level,14-25 LPA,"kubernetes, docker, helm, argocd, terraform, github actions, linux, python, go, observability","Thoughtworks is hiring a Platform Engineer to build and maintain internal developer platforms. You will create self-service infrastructure, implement GitOps workflows, and improve developer experience."
69,Release Engineer,ShareChat,"Ahmedabad, India",DevOps,Mid Level,10-20 LPA,"docker, kubernetes, aws, terraform, jenkins, linux, python, ci/cd, monitoring, ansible","Hashedin seeks a DevOps Engineer to automate infrastructure provisioning and manage CI/CD pipelines. You will work with Docker, Kubernetes, and Terraform on AWS to ensure high availability and scalability."
70,Software Engineer II,Josh,"Kolkata, India",Software Engineering,Entry Level,4-8 LPA,"python, java, git, sql, data structures, algorithms, problem solving, rest api","We are looking for a Junior Software Engineer to join our development team. You will work on building and maintaining web applications, writing clean code, debugging software, and collaborating with senior developers. Knowledge of data structures, algorithms, and version control is essential."
71,Mobile Developer,Chargebee,"Kolkata, India",Mobile Development,Entry Level,6-12 LPA,"react native, javascript, typescript, redux, rest api, git, expo, firebase","Myntra seeks a React Native Developer to work on our fashion e-commerce mobile app. You will build reusable components, optimize performance, and collaborate with backend teams for seamless integration."
72,Android Developer,Paytm,"Noida, India",Mobile Development,Entry Level,5-10 LPA,"kotlin, android sdk, java, xml, retrofit, room, mvvm, git, firebase","Paytm is looking for an Android Developer to build features for India's leading digital payment app. You will develop UI components, integrate REST APIs, and write testable code following MVVM architecture."
73,Junior Software Engineer,TechNova Inc.,"Bangalore, India",Software Engineering,Entry Level,4-8 LPA,"python, java, git, sql, data structures, algorithms, problem solving, rest api","We are looking for a Junior Software Engineer to join our development team. You will work on building and maintaining web applications, writing clean code, debugging software, and collaborating with senior developers. Knowledge of data structures, algorithms, and version control is essential."
74,Security Engineer,Mu Sigma,"Mumbai, India",Cybersecurity,Entry Level,5-9 LPA,"siem, splunk, networking, incident response, linux, windows server, threat analysis, communication","IBM is hiring a SOC Analyst to monitor security events in our 24/7 Security Operations Center. You will investigate alerts, escalate incidents, and create threat intelligence reports."
75,Senior Data Scientist,AbsoluteData,"Pune, India",Data Science,Mid Level,20-40 LPA,"python, pytorch, tensorflow, mlflow, docker, kubernetes, ci/cd, deep learning, computer vision","Microsoft seeks an ML Engineer to productionize machine learning models. You will build ML pipelines, optimize model performance, and deploy models at scale using MLOps best practices."
76,Security Engineer,Postman,"Pune, India",Cybersecurity,Mid Level,8-16 LPA,"penetration testing, burp suite, owasp, linux, python, networking, web security, report writing, ceh","Astra Security seeks a Penetration Tester to identify vulnerabilities in client web applications. You will perform manual and automated security testing, write detailed reports, and recommend remediation steps."
77,Senior Data Scientist,WebEngage,"Ahmedabad, India",Data Science,Entry Level,4-8 LPA,"python, sql, excel, tableau, pandas, numpy, statistics, communication, analytical thinking","Deloitte is hiring a Data Analyst to transform raw data into actionable business insights. You will create dashboards in Tableau, write SQL queries to extract data, and present findings to stakeholders."
78,Cross-Platform Developer,Tiger Analytics,"Kolkata, India",Mobile Development,Senior Level,30-50 LPA,"kotlin, swift, flutter, system design, leadership, mentoring, ci/cd, architecture, performance optimization","CRED is looking for a Mobile Lead to oversee the entire mobile engineering function. You will define mobile architecture, mentor a team of developers, and drive technical excellence across iOS and Android platforms."
79,Security Analyst,Tata AIG,"Mumbai, India",Cybersecurity,Entry Level,4-8 LPA,"networking, linux, firewall, siem, vulnerability assessment, python, security, owasp, communication","Tata AIG is hiring a Security Analyst to monitor and respond to security incidents. You will analyze security logs, conduct vulnerability assessments, and help maintain the organization's security posture."
80,Frontend Engineer,Urban Company,"Noida, India",Web Development,Entry Level,4-7 LPA,"angular, typescript, html, css, javascript, rxjs, git, rest api, agile","TCS is hiring an Angular Developer for enterprise web applications. You will build dynamic single-page apps using Angular, integrate with REST APIs, and follow agile development practices."
81,Information Security Analyst,Dunzo,"Kolkata, India",Cybersecurity,Entry Level,4-8 LPA,"networking, linux, firewall, siem, vulnerability assessment, python, security, owasp, communication","Tata AIG is hiring a Security Analyst to monitor and respond to security incidents. You will analyze security logs, conduct vulnerability assessments, and help maintain the organization's security posture."
82,Release Engineer,Groww,"Mumbai, India",DevOps,Mid Level,15-28 LPA,"linux, python, kubernetes, prometheus, grafana, docker, terraform, incident management, automation","PhonePe is hiring an SRE to ensure our payment platform maintains 99.99% uptime. You will build monitoring systems, automate incident response, and optimize infrastructure performance."
83,Web Developer,MoEngage,"Kolkata, India",Web Development,Mid Level,12-20 LPA,"react, typescript, next.js, css, tailwind, jest, git, ci/cd, performance optimization","Razorpay seeks an experienced React Developer to build and maintain our payment dashboard. You will optimize performance, write comprehensive tests, and implement complex financial UI components."
84,Application Security Engineer,Zomato,"Gurugram, India",Cybersecurity,Mid Level,14-25 LPA,"owasp, code review, python, java, security testing, ci/cd, docker, threat modeling, sdlc","Zomato is hiring an AppSec Engineer to embed security into our development lifecycle. You will conduct code reviews, run SAST/DAST tools, perform threat modeling, and train developers on secure coding."
85,SOC Analyst,IBM,"Bangalore, India",Cybersecurity,Entry Level,5-9 LPA,"siem, splunk, networking, incident response, linux, windows server, threat analysis, communication","IBM is hiring a SOC Analyst to monitor security events in our 24/7 Security Operations Center. You will investigate alerts, escalate incidents, and create threat intelligence reports."
86,Mobile Developer,Saksoft,"Bangalore, India",Mobile Development,Senior Level,30-50 LPA,"kotlin, swift, flutter, system design, leadership, mentoring, ci/cd, architecture, performance optimization","CRED is looking for a Mobile Lead to oversee the entire mobile engineering function. You will define mobile architecture, mentor a team of developers, and drive technical excellence across iOS and Android platforms."
87,Security Engineer,Happiest Minds,"Chennai, India",Cybersecurity,Senior Level,25-45 LPA,"aws, azure, cloud security, iam, terraform, zero trust, compliance, cissp, kubernetes security","Palo Alto Networks is looking for a Cloud Security Engineer to secure cloud-native environments. You will design security architectures, implement zero-trust models, and ensure compliance with industry standards."
88,Full Stack Developer,Zoho,"Chennai, India",Software Engineering,Mid Level,8-15 LPA,"javascript, react, node.js, express, mongodb, html, css, git, rest api, agile",Zoho seeks a Full Stack Developer proficient in React and Node.js to build end-to-end features for our SaaS products. You will collaborate with designers and product managers to deliver polished user experiences.
89,Junior Data Analyst,Josh,"Chennai, India",Data Science,Mid Level,18-35 LPA,"python, machine learning, tensorflow, pandas, numpy, scikit-learn, sql, statistics, deep learning, nlp","Amazon is looking for a Data Scientist to build ML models that improve customer experience. You will work on recommendation engines, demand forecasting, and NLP-based solutions using TensorFlow and scikit-learn."
90,Release Engineer,InMobi,"Bangalore, India",DevOps,Senior Level,25-45 LPA,"aws, azure, google cloud, terraform, kubernetes, microservices, system design, security, leadership","Wipro is looking for a Cloud Architect to design and implement cloud-native solutions for enterprise clients. You will lead cloud migration projects, define architecture standards, and mentor cloud engineering teams."
91,React Developer,Razorpay,"Bangalore, India",Web Development,Mid Level,12-20 LPA,"react, typescript, next.js, css, tailwind, jest, git, ci/cd, performance optimization","Razorpay seeks an experienced React Developer to build and maintain our payment dashboard. You will optimize performance, write comprehensive tests, and implement complex financial UI components."
92,Frontend Engineer,Cyient,"Mumbai, India",Web Development,Mid Level,10-18 LPA,"figma, adobe xd, sketch, user research, wireframing, prototyping, design thinking, communication","Ola is looking for a UI/UX Designer to create intuitive and delightful user experiences for our ride-hailing platform. You will conduct user research, create wireframes and prototypes, and collaborate with engineering teams."
93,Mobile Developer,Cyient,"Noida, India",Mobile Development,Mid Level,10-18 LPA,"flutter, dart, firebase, rest api, state management, git, ui design, testing","Dream11 is hiring a Flutter Developer to build cross-platform mobile experiences for our fantasy sports platform. You will create responsive UIs, manage app state, and integrate real-time data feeds."
94,UI/UX Designer,Ola,"Bangalore, India",Web Development,Mid Level,10-18 LPA,"figma, adobe xd, sketch, user research, wireframing, prototyping, design thinking, communication","Ola is looking for a UI/UX Designer to create intuitive and delightful user experiences for our ride-hailing platform. You will conduct user research, create wireframes and prototypes, and collaborate with engineering teams."
95,Site Reliability Engineer,PhonePe,"Bangalore, India",DevOps,Mid Level,15-28 LPA,"linux, python, kubernetes, prometheus, grafana, docker, terraform, incident management, automation","PhonePe is hiring an SRE to ensure our payment platform maintains 99.99% uptime. You will build monitoring systems, automate incident response, and optimize infrastructure performance."
96,Cloud Security Engineer,Palo Alto Networks,"Bangalore, India",Cybersecurity,Senior Level,25-45 LPA,"aws, azure, cloud security, iam, terraform, zero trust, compliance, cissp, kubernetes security","Palo Alto Networks is looking for a Cloud Security Engineer to secure cloud-native environments. You will design security architectures, implement zero-trust models, and ensure compliance with industry standards."
97,Data Engineer,Uber,"Hyderabad, India",Database,Mid Level,18-32 LPA,"python, sql, spark, hadoop, airflow, kafka, aws, data modeling, etl, data pipeline","Uber is hiring a Data Engineer to build and maintain large-scale data pipelines. You will design ETL processes, optimize Spark jobs, and ensure reliable data delivery for analytics and ML teams."
98,Scrum Master,ThoughtSpot,"Hyderabad, India",Product Management,Mid Level,14-22 LPA,"scrum, agile, facilitation, jira, confluence, communication, coaching, continuous improvement, kanban","ThoughtSpot is hiring a Scrum Master to facilitate agile ceremonies and remove blockers for engineering teams. You will coach teams on Scrum practices, track velocity, and drive continuous process improvement."
99,Information Security Analyst,Persistent Systems,"Bangalore, India",Cybersecurity,Mid Level,8-16 LPA,"penetration testing, burp suite, owasp, linux, python, networking, web security, report writing, ceh","Astra Security seeks a Penetration Tester to identify vulnerabilities in client web applications. You will perform manual and automated security testing, write detailed reports, and recommend remediation steps."
100,Senior Software Engineer,Google,"Bangalore, India",Software Engineering,Senior Level,35-60 LPA,"c++, python, distributed systems, system design, algorithms, leadership, mentoring, ci/cd","Google is looking for a Senior Software Engineer to lead the development of large-scale distributed systems. You will mentor junior engineers, drive technical decisions, and build infrastructure used by billions of users worldwide."
101,Angular Developer,TCS,"Pune, India",Web Development,Entry Level,4-7 LPA,"angular, typescript, html, css, javascript, rxjs, git, rest api, agile","TCS is hiring an Angular Developer for enterprise web applications. You will build dynamic single-page apps using Angular, integrate with REST APIs, and follow agile development practices."
102,Release Engineer,AbsoluteData,"Hyderabad, India",DevOps,Mid Level,14-25 LPA,"kubernetes, docker, helm, argocd, terraform, github actions, linux, python, go, observability","Thoughtworks is hiring a Platform Engineer to build and maintain internal developer platforms. You will create self-service infrastructure, implement GitOps workflows, and improve developer experience."
